Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,148999876,1908.710560859397,5793002,74.20921676793617,856330,3140115,40.225339937954075,92170,1.1807114013598952,15185,
United States of America,Americas,31835314,9617.84,367742,111.1,51939,567971,171.59,4747,1.43,644,Community transmission
India,South-East Asia,18376524,1331.63,2445559,177.21,379257,204832,14.84,20175,1.46,3645,Clusters of cases
Brazil,Americas,14441563,6794.13,398487,187.47,72140,395022,185.84,17019,8.01,3086,Community transmission
France,Europe,5447883,8376.29,190837,293.42,29980,102890,158.2,1973,3.03,315,Community transmission
Russian Federation,Europe,4787273,3280.43,60148,41.22,7848,109367,74.94,2661,1.82,387,Clusters of cases
Turkey,Europe,4710582,5585.29,325958,386.49,43301,39057,46.31,2444,2.9,346,Community transmission
The United Kingdom,Europe,4409635,6495.65,16324,24.05,2685,127451,187.74,144,0.21,17,Community transmission
Italy,Europe,3981512,6675.74,90449,151.65,10398,119912,201.05,2279,3.82,373,Clusters of cases
Spain,Europe,3496134,7386.31,53309,112.63,4420,77855,164.48,268,0.57,12,Community transmission
Germany,Europe,3332532,4007.05,144340,173.56,22231,82280,98.93,1646,1.98,312,Community transmission
Argentina,Americas,2905172,6427.97,161552,357.45,25495,62599,138.51,2807,6.21,512,Community transmission
Colombia,Americas,2804881,5512.42,120780,237.37,17578,72235,141.96,3058,6.01,436,Community transmission
Poland,Europe,2776927,7315.76,58434,153.94,8893,66533,175.28,3060,8.06,636,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2459906,2928.71,148093,176.32,21713,70966,84.49,3053,3.63,434,Community transmission
Mexico,Americas,2333126,1809.57,21954,17.03,3592,215547,167.18,2499,1.94,434,Community transmission
Ukraine,Europe,2047838,4682.51,73720,168.57,9590,43391,99.22,2595,5.93,441,Community transmission
Peru,Americas,1775062,5383.57,55974,169.76,6876,60416,183.24,2462,7.47,403,Community transmission
Indonesia,South-East Asia,1657035,605.81,36466,13.33,5241,45116,16.49,1109,0.41,177,Community transmission
Czechia,Europe,1626033,15205.18,16172,151.23,3256,29141,272.5,430,4.02,66,Community transmission
South Africa,Africa,1577200,2659.31,8834,14.89,880,54237,91.45,350,0.59,51,Community transmission
Netherlands,Europe,1472674,8459.96,55097,316.51,5373,17093,98.19,129,0.74,31,Community transmission
Canada,Americas,1194989,3166.19,55946,148.23,7071,24065,63.76,352,0.93,41,Community transmission
Chile,Americas,1184271,6195.12,42868,224.25,4499,26073,136.39,720,3.77,53,Community transmission
Iraq,Eastern Mediterranean,1051868,2615.12,50014,124.34,6858,15392,38.27,294,0.73,44,Community transmission
Romania,Europe,1049539,5429.91,15536,80.38,2019,27683,143.22,1065,5.51,172,Community transmission
Philippines,Western Pacific,1020495,931.27,58213,53.12,6895,17031,15.54,766,0.7,115,Community transmission
Belgium,Europe,979034,8496.76,16513,143.31,1,24104,209.19,237,2.06,5,Community transmission
Sweden,Europe,953254,9230.17,36443,352.87,3072,13968,135.25,20,0.19,1,Community transmission
Israel,Europe,838285,9684.95,865,9.99,92,6361,73.49,16,0.18,7,Community transmission
Portugal,Europe,834991,8109.93,3346,32.5,353,16970,164.82,19,0.18,5,Clusters of cases
Pakistan,Eastern Mediterranean,810231,366.8,37850,17.14,5292,17530,7.94,930,0.42,201,Community transmission
Hungary,Europe,774399,7926.68,17039,174.41,1692,27172,278.13,1385,14.18,188,Community transmission
Bangladesh,South-East Asia,754614,458.2,22554,13.69,2955,11305,6.86,622,0.38,77,Community transmission
Jordan,Eastern Mediterranean,708265,6941.64,12875,126.19,1910,8754,85.8,325,3.19,47,Community transmission
Serbia,Europe,683799,9871.92,15862,229,2145,6286,90.75,228,3.29,29,Community transmission
Switzerland,Europe,650965,7521.59,10928,126.27,5,9926,114.69,26,0.3,0,Community transmission
Austria,Europe,608447,6835.67,14390,161.67,1557,9874,110.93,165,1.85,20,Community transmission
Japan,Western Pacific,580988,459.36,34563,27.33,5425,10107,7.99,343,0.27,52,Clusters of cases
Lebanon,Eastern Mediterranean,524241,7680.69,9153,134.1,1478,7224,105.84,197,2.89,27,Community transmission
United Arab Emirates,Eastern Mediterranean,516301,5220.22,13510,136.6,1710,1580,15.98,19,0.19,2,Clusters of cases
Morocco,Eastern Mediterranean,510465,1382.98,3127,8.47,493,9015,24.42,46,0.12,10,Community transmission
Saudi Arabia,Eastern Mediterranean,415281,1192.86,7243,20.8,1062,6935,19.92,77,0.22,13,Community transmission
Malaysia,Western Pacific,401593,1240.79,19780,61.11,3142,1477,4.56,77,0.24,15,Community transmission
Bulgaria,Europe,401109,5770.12,10198,146.7,1850,16182,232.78,664,9.55,81,Clusters of cases
Slovakia,Europe,381180,6984.04,3707,67.92,682,11611,212.74,307,5.62,39,Clusters of cases
Ecuador,Americas,377662,2140.57,14819,83.99,2333,18470,104.69,666,3.77,81,Community transmission
Kazakhstan,Europe,363871,1937.89,13884,73.94,0,4345,23.14,188,1,0,Clusters of cases
Panama,Americas,363533,8425.32,2214,51.31,368,6216,144.06,24,0.56,4,Community transmission
Belarus,Europe,354669,3753.38,8671,91.76,823,2512,26.58,69,0.73,10,Community transmission
Greece,Europe,337723,3150.82,17094,159.48,3287,10179,94.97,552,5.15,92,Community transmission
Croatia,Europe,327737,8075.99,14314,352.72,2904,7001,172.52,309,7.61,44,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,323391,6339.24,8522,167.05,1084,3474,68.1,110,2.16,5,Community transmission
Azerbaijan,Europe,315119,3107.94,11261,111.06,1307,4429,43.68,226,2.23,27,Clusters of cases
Nepal,South-East Asia,312699,1073.21,22912,78.64,4774,3211,11.02,99,0.34,17,Clusters of cases
Georgia,Europe,307401,7705.88,8363,209.64,1551,4077,102.2,106,2.66,17,Community transmission
Tunisia,Eastern Mediterranean,305313,2583.32,13480,114.06,1729,10563,89.38,570,4.82,119,Community transmission
Bolivia (Plurinational State of),Americas,300258,2572.24,8583,73.53,1480,12885,110.38,190,1.63,24,Community transmission
Paraguay,Americas,271814,3810.9,16768,235.09,2461,6094,85.44,624,8.75,92,Community transmission
Kuwait,Eastern Mediterranean,271145,6349.15,9838,230.37,1464,1546,36.2,64,1.5,11,Community transmission
Dominican Republic,Americas,265819,2450.42,3415,31.48,338,3467,31.96,32,0.29,5,Community transmission
Ethiopia,Africa,254044,220.98,8889,7.73,924,3605,3.14,166,0.14,35,Community transmission
Republic of Moldova,Europe,249714,6190.29,3023,74.94,329,5762,142.84,146,3.62,17,Community transmission
Denmark,Europe,248950,4275.46,4885,83.89,624,2479,42.57,16,0.27,2,Community transmission
Ireland,Europe,247489,4985.23,3192,64.3,420,4884,98.38,37,0.75,10,Community transmission
Lithuania,Europe,244555,8752.58,8022,287.11,1629,3900,139.58,98,3.51,23,Community transmission
Costa Rica,Americas,243167,4773.49,11200,219.86,1927,3186,62.54,82,1.61,18,Community transmission
Slovenia,Europe,238023,11356.81,4922,234.84,807,4525,215.9,23,1.1,1,Clusters of cases
Egypt,Eastern Mediterranean,225528,220.38,6626,6.47,1011,13219,12.92,353,0.34,51,Community transmission
Guatemala,Americas,224621,1253.78,8292,46.28,1596,7478,41.74,169,0.94,25,Community transmission
Armenia,Europe,214872,7251.27,4354,146.93,808,4071,137.38,127,4.29,13,Community transmission
Honduras,Americas,208356,2103.63,5943,60,1036,5212,52.62,236,2.38,19,Community transmission
Qatar,Eastern Mediterranean,204289,7090.78,5109,177.33,690,445,15.45,45,1.56,4,Community transmission
Bosnia and Herzegovina,Europe,196732,5996.44,4856,148.01,761,8418,256.58,393,11.98,68,Community transmission
Venezuela (Bolivarian Republic of),Americas,193721,681.25,7985,28.08,1223,2082,7.32,138,0.49,17,Community transmission
Oman,Eastern Mediterranean,192326,3766.2,8556,167.55,928,2001,39.18,75,1.47,9,Community transmission
Uruguay,Americas,190096,5472.39,20769,597.89,2747,2452,70.59,430,12.38,61,Community transmission
Libya,Eastern Mediterranean,176701,2571.58,3018,43.92,447,3019,43.94,95,1.38,9,Community transmission
Bahrain,Eastern Mediterranean,174695,10266.66,7530,442.53,1147,632,37.14,25,1.47,6,Community transmission
Nigeria,Africa,164912,80,489,0.24,156,2062,1,1,0,0,Community transmission
Kenya,Africa,157492,292.89,4969,9.24,511,2665,4.96,146,0.27,22,Community transmission
North Macedonia,Europe,151122,7253.69,3127,150.09,450,4742,227.61,233,11.18,28,Community transmission
Myanmar,South-East Asia,142790,262.43,129,0.24,12,3209,5.9,3,0.01,1,Clusters of cases
Albania,Europe,130736,4542.91,894,31.07,130,2383,82.81,30,1.04,4,Clusters of cases
Puerto Rico,Americas,130361,4556.72,5666,198.05,324,2285,79.87,61,2.13,6,Community transmission
Republic of Korea,Western Pacific,121351,236.69,4690,9.15,680,1825,3.56,17,0.03,4,Clusters of cases
Algeria,Africa,121344,276.72,1352,3.08,232,3225,7.35,60,0.14,8,Community transmission
Estonia,Europe,121232,9122.21,2443,183.83,396,1148,86.38,39,2.93,0,Clusters of cases
Latvia,Europe,116132,6087.62,3908,204.86,596,2110,110.61,39,2.04,4,Community transmission
Norway,Europe,111162,2070.99,3136,58.42,551,737,13.73,28,0.52,0,Community transmission
Sri Lanka,South-East Asia,104953,490.13,6903,32.24,1466,661,3.09,31,0.14,14,Clusters of cases
